Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
5/13/2015 23:53,WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",OAK ST / LAGUNA ST,-122.4258917,37.7745986
5/13/2015 23:53,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",OAK ST / LAGUNA ST,-122.4258917,37.7745986
5/13/2015 23:33,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",VANNESS AV / GREENWICH ST,-122.424363,37.80041432
5/13/2015 23:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1500 Block of LOMBARD ST,-122.4269953,37.80087263
5/13/2015 23:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,100 Block of BRODERICK ST,-122.4387376,37.77154117
5/13/2015 23:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,INGLESIDE,NONE,0 Block of TEDDY AV,-122.4032524,37.7134307
5/13/2015 23:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,AVALON AV / PERU AV,-122.423327,37.72513804
5/13/2015 23:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,BAYVIEW,NONE,KIRKWOOD AV / DONAHUE ST,-122.3712743,37.72756407
5/13/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,600 Block of 47TH AV,-122.508194,37.77660126
5/13/2015 23:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,JEFFERSON ST / LEAVENWORTH ST,-122.4190877,37.80780155
5/12/2015 11:00,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,MISSION,NONE,SOUTH VAN NESS AV / 15TH ST,-122.4176479,37.76680538
5/12/2015 11:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,TARAVAL,NONE,JUNIPERO SERRA BL / WINSTON DR,-122.4720553,37.72682391
5/12/2015 10:45,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168
5/12/2015 10:40,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,0 Block of BAY ST,-122.4064296,37.80656886
5/12/2015 10:35,ASSAULT,BATTERY,Tuesday,PARK,NONE,800 Block of BRODERICK ST,-122.4400536,37.77806666
5/12/2015 10:35,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,100 Block of GOUGH ST,-122.4223863,37.77432673
5/12/2015 10:30,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,MISSION ST / 8TH ST,-122.4131609,37.77745666
5/12/2015 10:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,HYDE ST / VALLEJO ST,-122.4186752,37.79733433
5/12/2015 10:28,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Tuesday,BAYVIEW,NONE,5600 Block of 3RD ST,-122.3938703,37.72664013
5/12/2015 10:27,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,RICHMOND,NONE,200 Block of CHERRY ST,-122.457076,37.78824482
5/12/2015 10:25,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Tuesday,INGLESIDE,NONE,200 Block of POPE ST,-122.4404168,37.71203293
5/12/2015 10:22,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,TARAVAL,NONE,1800 Block of 46TH AV,-122.5052709,37.75201369
5/12/2015 10:20,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007
5/12/2015 10:15,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,NORTHERN,NONE,1700 Block of VANNESS AV,-122.4227772,37.7917191
5/12/2015 10:15,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,JEFFERSON ST / THE EMBARCADERONORTH ST,-122.4125272,37.80862506
5/12/2015 10:13,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,BEACH ST / STOCKTON ST,-122.4106907,37.80789119
